"1-Stage:stage_duration","1-Stage:stage_update_count","2-Stage:stage_duration","2-Stage:stage_update_count","3-Stage:stage_duration","3-Stage:stage_update_count","4-Stage:stage_duration","4-Stage:stage_update_count","5-Stage:stage_duration","5-Stage:stage_update_count","outcome"
"217.0","26.0","0.0","0.0","30.0","7.0","0.0","0.0","0.0","3.0","2"
"119.0","13.0","0.0","0.0","106.0","7.0","109.0","6.0","15.0","4.0","2"
"258.0","54.0","0.0","0.0","0.0","0.0","51.0","146.0","22.0","31.0","2"
"55.0","37.0","0.0","0.0","24.0","6.0","50.0","13.0","0.0","0.0","2"
"35.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"32.0","9.0","0.0","0.0","0.0","0.0","58.0","19.0","0.0","0.0","2"
"6.0","4.0","0.0","0.0","17.0","3.0","0.0","0.0","0.0","0.0","4"
"4.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","5.0","2"
"182.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","2"
"0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"38.0","6.0","0.0","0.0","0.0","0.0","312.0","41.0","16.0","3.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"115.0","64.0","0.0","0.0","0.0","0.0","30.0","12.0","0.0","0.0","2"
"141.0","27.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","3.0","4"
"15.0","65.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","29.0","2"
"110.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","3.0","2"
"44.0","12.0","0.0","0.0","11.0","3.0","0.0","0.0","0.0","0.0","4"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"7.0","4.0","25.0","7.0","0.0","0.0","27.0","4.0","0.0","0.0","2"
"2.0","40.0","0.0","0.0","3.0","2.0","14.0","2.0","0.0","0.0","2"
"3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","33.0","2.0","2"
"167.0","2.0","0.0","0.0","0.0","0.0","41.0","2.0","0.0","0.0","2"
"127.0","64.0","0.0","0.0","76.0","5.0","0.0","0.0","287.0","75.0","2"
"127.0","43.0","33.0","7.0","16.0","10.0","27.0","5.0","0.0","0.0","2"
"0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"98.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","5.0","2"
"2.0","57.0","76.0","9.0","0.0","0.0","0.0","0.0","7.0","3.0","2"
"0.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","2"
"0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"490.0","26.0","0.0","0.0","0.0","0.0","0.0","0.0","83.0","27.0","2"
"1.0","12.0","0.0","0.0","49.0","9.0","0.0","0.0","0.0","0.0","3"
"30.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0","33.0","6.0","2"
"6.0","13.0","0.0","0.0","224.0","30.0","0.0","0.0","0.0","0.0","4"
"3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","5.0","0.0","0.0","0.0","0.0","37.0","7.0","6.0","4.0","2"
"17.0","7.0","0.0","0.0","16.0","11.0","0.0","0.0","5.0","8.0","2"
"767.0","27.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"326.0","7.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","4"
"0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"12.0","30.0","0.0","0.0","0.0","0.0","34.0","10.0","29.0","11.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","3.0","0.0","0.0","52.0","20.0","17.0","5.0","1.0","5.0","2"
